status;duration;credit_history;purpose;amount;savings;employment_duration;installment_rate;personal_status_sex;other_debtors;present_residence;property;age;other_installment_plans;housing;number_credits;job;people_liable;telephone;foreign_worker;credit_risk
less than 0 DM;24;no credits taken or all credits paid back duly;others;1201;unknown or no savings account; less than  1 yr; less than  20;male : married or widowed;none; less than  1 yr;car or other;26;none;rent;1;skilled employee or official;0 to 2;no;no;good
no checking account;6;no credits taken or all credits paid back duly;others;662;unknown or no savings account; less than  1 yr;20 between 25;male : married or widowed;none; more than  7 yrs;unknown  or  no property;41;none;rent;1;unskilled - resident;3 or more;yes;no;good
more than 200 DM or salary for at least 1 year;15;no credits taken or all credits paid back duly;car (new);1300;more than 1000 DM; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;real estate;45;bank;own;1;skilled employee or official;3 or more;no;no;good
more than 200 DM or salary for at least 1 year;24;critical account or other credits elsewhere;retraining;1559;unknown or no savings account;4 between 7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;40;bank;rent;1;skilled employee or official;0 to 2;yes;no;good
between 0 and 200 DM;12;no credits taken or all credits paid back duly;furniture or equipment;3016;unknown or no savings account;1 between 4 yrs;20 between 25;female : single;none; less than  1 yr;building soc. savings agr. or life insurance;24;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;15;all credits at this bank paid back duly;furniture or equipment;1360;unknown or no savings account;1 between 4 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;car or other;31;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;6;delay in paying off in the past;others;1204;less than 100 DM;1 between 4 yrs; less than  20;male : married or widowed;none; less than  1 yr;real estate;35;bank;for free;1;skilled employee or official;0 to 2;no;yes;good
more than 200 DM or salary for at least 1 year;10;no credits taken or all credits paid back duly;others;1597;between 100 and 500 DM;1 between 4 yrs;20 between 25;male : married or widowed;none;1 between 4 yrs;real estate;40;none;for free;1;unskilled - resident;3 or more;no;yes;good
more than 200 DM or salary for at least 1 year;12;no credits taken or all credits paid back duly;furniture or equipment;2073;less than 100 DM;1 between 4 yrs; less than  20;female : non-single or male : single;co-applicant;1 between 4 yrs;unknown  or  no property;28;none;rent;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;11;no credits taken or all credits paid back duly;retraining;2142;500 between 1000 DM; more than  7 yrs; more than  35;male : divorced or separated;none;1 between 4 yrs;unknown  or  no property;28;none;rent;1;skilled employee or official;0 to 2;yes;no;good
no checking account;10;all credits at this bank paid back duly;car (used);2132;more than 1000 DM; less than  1 yr;25 between 35;female : non-single or male : single;co-applicant;4 between 7 yrs;unknown  or  no property;27;none;for free;3-Feb;skilled employee or official;0 to 2;no;yes;good
more than 200 DM or salary for at least 1 year;10;no credits taken or all credits paid back duly;others;1546;unknown or no savings account;1 between 4 yrs;20 between 25;male : married or widowed;none;1 between 4 yrs;unknown  or  no property;31;none;rent;1;unskilled - resident;3 or more;no;yes;good
more than 200 DM or salary for at least 1 year;24;all credits at this bank paid back duly;others;1287;500 between 1000 DM; more than  7 yrs; less than  20;female : non-single or male : single;none; more than  7 yrs;unknown  or  no property;37;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;10;no credits taken or all credits paid back duly;others;1418;less than 100 DM;1 between 4 yrs;20 between 25;male : married or widowed;none;1 between 4 yrs;unknown  or  no property;35;none;for free;1;unskilled - resident;0 to 2;no;yes;good
between 0 and 200 DM;6;all credits at this bank paid back duly;others;1343;unknown or no savings account; more than  7 yrs; more than  35;male : married or widowed;none; more than  7 yrs;unknown  or  no property;46;none;rent;3-Feb;skilled employee or official;3 or more;no;yes;good
more than 200 DM or salary for at least 1 year;18;no credits taken or all credits paid back duly;others;2662;more than 1000 DM;4 between 7 yrs; less than  20;male : married or widowed;none;4 between 7 yrs;car or other;32;none;rent;1;skilled employee or official;0 to 2;no;yes;good
more than 200 DM or salary for at least 1 year;18;all credits at this bank paid back duly;furniture or equipment;6070;unknown or no savings account; more than  7 yrs;20 between 25;male : married or widowed;none; more than  7 yrs;building soc. savings agr. or life insurance;33;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;24;all credits at this bank paid back duly;repairs;1927;more than 1000 DM;1 between 4 yrs;20 between 25;female : non-single or male : single;none;1 between 4 yrs;building soc. savings agr. or life insurance;33;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;18;all credits at this bank paid back duly;furniture or equipment;2404;unknown or no savings account;1 between 4 yrs;25 between 35;female : non-single or male : single;none;1 between 4 yrs;building soc. savings agr. or life insurance;26;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;6;all credits at this bank paid back duly;furniture or equipment;1554;unknown or no savings account;4 between 7 yrs; more than  35;female : non-single or male : single;none;1 between 4 yrs;building soc. savings agr. or life insurance;24;none;for free;3-Feb;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;22;no credits taken or all credits paid back duly;others;1283;more than 1000 DM;4 between 7 yrs; less than  20;female : non-single or male : single;none; more than  7 yrs;car or other;25;none;for free;1;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;24;existing credits paid back duly till now;others;717;more than 1000 DM; more than  7 yrs; less than  20;female : single;none; more than  7 yrs;building soc. savings agr. or life insurance;54;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;good
no checking account;24;no credits taken or all credits paid back duly;car (used);1747;unknown or no savings account; less than  1 yr; less than  20;male : married or widowed;co-applicant; less than  1 yr;car or other;24;none;rent;1;unskilled - resident;0 to 2;no;yes;good
no checking account;9;all credits at this bank paid back duly;domestic appliances;1288;less than 100 DM; more than  7 yrs;20 between 25;male : married or widowed;guarantor; more than  7 yrs;unknown  or  no property;48;none;rent;3-Feb;skilled employee or official;3 or more;no;yes;good
no checking account;10;all credits at this bank paid back duly;others;1038;unknown or no savings account;4 between 7 yrs; less than  20;male : married or widowed;co-applicant;4 between 7 yrs;car or other;49;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;10;no credits taken or all credits paid back duly;car (new);2848;less than 100 DM;1 between 4 yrs; more than  35;male : married or widowed;co-applicant;1 between 4 yrs;unknown  or  no property;32;none;rent;1;skilled employee or official;3 or more;no;no;good
more than 200 DM or salary for at least 1 year;12;no credits taken or all credits paid back duly;car (new);1413;500 between 1000 DM;4 between 7 yrs;20 between 25;male : married or widowed;none;1 between 4 yrs;car or other;55;none;rent;1;skilled employee or official;0 to 2;no;yes;good
more than 200 DM or salary for at least 1 year;30;all credits at this bank paid back duly;furniture or equipment;3077;more than 1000 DM; more than  7 yrs;20 between 25;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;40;none;rent;3-Feb;skilled employee or official;3 or more;yes;no;good
no checking account;24;critical account or other credits elsewhere;car (new);3632;unknown or no savings account;1 between 4 yrs; more than  35;female : non-single or male : single;guarantor; more than  7 yrs;building soc. savings agr. or life insurance;22;bank;for free;1;skilled employee or official;0 to 2;no;yes;good
more than 200 DM or salary for at least 1 year;18;all credits at this bank paid back duly;car (new);3229;more than 1000 DM;unemployed;25 between 35;male : married or widowed;none; more than  7 yrs;real estate;38;none;rent;1;manager or self-empl. or highly qualif. employee;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;9;no credits taken or all credits paid back duly;others;3577;less than 100 DM;1 between 4 yrs; more than  35;male : married or widowed;guarantor;1 between 4 yrs;unknown  or  no property;26;none;for free;1;skilled employee or official;3 or more;no;yes;good
more than 200 DM or salary for at least 1 year;12;all credits at this bank paid back duly;others;682;less than 100 DM;4 between 7 yrs; less than  20;female : non-single or male : single;none;4 between 7 yrs;building soc. savings agr. or life insurance;51;none;rent;3-Feb;skilled employee or official;0 to 2;yes;no;good
more than 200 DM or salary for at least 1 year;10;no credits taken or all credits paid back duly;furniture or equipment;1924;unknown or no savings account;1 between 4 yrs; more than  35;male : married or widowed;none; more than  7 yrs;car or other;38;none;rent;1;skilled employee or official;0 to 2;yes;yes;good
more than 200 DM or salary for at least 1 year;10;no credits taken or all credits paid back duly;repairs;727;between 100 and 500 DM; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;real estate;46;none;own;1;skilled employee or official;0 to 2;yes;no;good
between 0 and 200 DM;10;all credits at this bank paid back duly;others;781;unknown or no savings account; more than  7 yrs; less than  20;male : married or widowed;none; more than  7 yrs;real estate;63;none;own;3-Feb;skilled employee or official;0 to 2;yes;no;good
no checking account;12;all credits at this bank paid back duly;others;2121;unknown or no savings account;1 between 4 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;car or other;30;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
more than 200 DM or salary for at least 1 year;12;all credits at this bank paid back duly;repairs;701;unknown or no savings account;1 between 4 yrs; less than  20;male : married or widowed;none;1 between 4 yrs;building soc. savings agr. or life insurance;32;none;rent;3-Feb;skilled employee or official;0 to 2;no;no;good
